Algorithm,Budget,Recovery_Percentage,RP_std
Original_PARWIS,100,2.666666666666667,5.120763831912405
Original_PARWIS,200,6.000000000000001,6.6332495807108
Original_PARWIS,300,6.000000000000001,6.6332495807108
Original_PARWIS,400,6.000000000000001,6.6332495807108
Original_PARWIS,500,6.000000000000001,6.6332495807108
Updated_PARWIS_TopK,100,3.3333333333333335,5.374838498865699
Updated_PARWIS_TopK,200,5.333333333333335,6.18241233033047
Updated_PARWIS_TopK,300,5.666666666666668,6.674994798166929
Updated_PARWIS_TopK,400,5.666666666666668,6.674994798166929
Updated_PARWIS_TopK,500,6.000000000000001,7.118052168020873
