Budget,Average_Recovery_Rate
1,0.000000
2,0.030000
3,0.000000
4,0.030000
5,0.000000
6,0.030000
7,0.000000
8,0.030000
9,0.000000
10,0.030000
11,0.020000
12,0.030000
13,0.020000
14,0.030000
15,0.020000
16,0.030000
17,0.020000
18,0.030000
19,0.010000
20,0.030000
21,0.020000
22,0.030000
23,0.010000
24,0.030000
25,0.010000
26,0.030000
27,0.010000
28,0.030000
29,0.000000
30,0.030000
31,0.000000
32,0.030000
33,0.030000
34,0.030000
35,0.020000
36,0.030000
37,0.000000
38,0.030000
39,0.010000
40,0.030000
41,0.010000
42,0.030000
43,0.000000
44,0.030000
45,0.000000
46,0.030000
47,0.010000
48,0.030000
49,0.000000
50,0.030000
51,0.020000
52,0.030000
53,0.000000
54,0.030000
55,0.030000
56,0.030000
57,0.020000
58,0.030000
59,0.050000
60,0.030000
61,0.020000
62,0.030000
63,0.000000
64,0.030000
65,0.030000
66,0.030000
67,0.010000
68,0.030000
69,0.020000
70,0.030000
71,0.010000
72,0.030000
73,0.020000
74,0.030000
75,0.020000
76,0.030000
77,0.000000
78,0.030000
79,0.010000
80,0.030000
81,0.000000
82,0.030000
83,0.010000
84,0.030000
85,0.000000
86,0.030000
87,0.010000
88,0.030000
89,0.020000
90,0.030000
91,0.000000
92,0.030000
93,0.010000
94,0.030000
95,0.010000
96,0.030000
97,0.030000
98,0.030000
99,0.020000
100,0.250000
101,0.310000
102,0.320000
103,0.320000
104,0.320000
105,0.320000
106,0.320000
107,0.330000
108,0.330000
109,0.330000
110,0.330000
111,0.330000
112,0.330000
113,0.330000
114,0.330000
115,0.340000
116,0.340000
117,0.340000
118,0.340000
119,0.340000
120,0.340000
121,0.340000
122,0.340000
123,0.340000
124,0.340000
125,0.340000
126,0.340000
127,0.340000
128,0.340000
129,0.340000
130,0.340000
131,0.340000
132,0.340000
133,0.340000
134,0.340000
135,0.340000
136,0.340000
137,0.340000
138,0.340000
139,0.340000
140,0.340000
141,0.340000
142,0.340000
143,0.340000
144,0.340000
145,0.340000
146,0.340000
147,0.340000
148,0.340000
149,0.340000
150,0.340000
151,0.340000
152,0.340000
153,0.340000
154,0.340000
155,0.340000
156,0.340000
157,0.340000
158,0.340000
159,0.340000
160,0.340000
161,0.340000
162,0.340000
163,0.340000
164,0.340000
165,0.340000
166,0.340000
167,0.340000
168,0.340000
169,0.340000
170,0.340000
171,0.340000
172,0.340000
173,0.340000
174,0.340000
175,0.340000
176,0.340000
177,0.340000
178,0.340000
179,0.340000
180,0.340000
181,0.340000
182,0.340000
183,0.340000
184,0.340000
185,0.340000
186,0.340000
187,0.340000
188,0.340000
189,0.340000
190,0.340000
191,0.340000
192,0.340000
193,0.340000
194,0.340000
195,0.340000
196,0.340000
197,0.340000
198,0.340000
199,0.340000
200,0.340000
201,0.340000
202,0.340000
203,0.340000
204,0.340000
205,0.340000
206,0.340000
207,0.340000
208,0.340000
209,0.340000
210,0.340000
211,0.340000
212,0.340000
213,0.340000
214,0.340000
215,0.340000
216,0.340000
217,0.340000
218,0.340000
219,0.340000
220,0.340000
221,0.340000
222,0.340000
223,0.340000
224,0.340000
225,0.340000
226,0.340000
227,0.340000
228,0.340000
229,0.340000
230,0.340000
231,0.340000
232,0.340000
233,0.340000
234,0.340000
235,0.340000
236,0.340000
237,0.340000
238,0.340000
239,0.340000
240,0.340000
241,0.340000
242,0.340000
243,0.340000
244,0.340000
245,0.340000
246,0.340000
247,0.340000
248,0.340000
249,0.340000
250,0.340000
251,0.340000
252,0.340000
