Budget,Average_Recovery_Rate
1,0.000000
2,0.030000
3,0.000000
4,0.030000
5,0.000000
6,0.030000
7,0.000000
8,0.030000
9,0.000000
10,0.030000
11,0.020000
12,0.030000
13,0.020000
14,0.030000
15,0.020000
16,0.030000
17,0.020000
18,0.030000
19,0.010000
20,0.030000
21,0.020000
22,0.030000
23,0.010000
24,0.030000
25,0.010000
26,0.030000
27,0.010000
28,0.030000
29,0.000000
30,0.030000
31,0.000000
32,0.030000
33,0.030000
34,0.030000
35,0.020000
36,0.030000
37,0.000000
38,0.030000
39,0.010000
40,0.030000
41,0.010000
42,0.030000
43,0.000000
44,0.030000
45,0.000000
46,0.030000
47,0.010000
48,0.030000
49,0.000000
50,0.030000
51,0.020000
52,0.030000
53,0.000000
54,0.030000
55,0.030000
56,0.030000
57,0.020000
58,0.030000
59,0.050000
60,0.030000
61,0.020000
62,0.030000
63,0.000000
64,0.030000
65,0.030000
66,0.030000
67,0.010000
68,0.030000
69,0.020000
70,0.030000
71,0.010000
72,0.030000
73,0.020000
74,0.030000
75,0.020000
76,0.030000
77,0.000000
78,0.030000
79,0.010000
80,0.030000
81,0.000000
82,0.030000
83,0.010000
84,0.030000
85,0.000000
86,0.030000
87,0.010000
88,0.030000
89,0.020000
90,0.030000
91,0.000000
92,0.030000
93,0.010000
94,0.030000
95,0.010000
96,0.030000
97,0.030000
98,0.030000
99,0.020000
100,0.630000
101,0.650000
102,0.660000
103,0.680000
104,0.680000
105,0.700000
106,0.710000
107,0.720000
108,0.730000
109,0.740000
110,0.740000
111,0.750000
112,0.750000
113,0.750000
114,0.750000
115,0.750000
116,0.750000
117,0.750000
118,0.760000
119,0.760000
120,0.760000
121,0.760000
122,0.770000
123,0.770000
124,0.770000
125,0.770000
126,0.770000
127,0.770000
128,0.770000
129,0.770000
130,0.770000
131,0.770000
132,0.770000
133,0.770000
134,0.770000
135,0.780000
136,0.780000
137,0.780000
138,0.790000
139,0.800000
140,0.800000
141,0.800000
142,0.800000
143,0.800000
144,0.800000
145,0.800000
146,0.800000
147,0.800000
148,0.800000
149,0.800000
150,0.800000
151,0.800000
152,0.800000
153,0.800000
154,0.800000
155,0.800000
156,0.800000
157,0.800000
158,0.800000
159,0.800000
160,0.800000
161,0.810000
162,0.810000
163,0.810000
164,0.810000
165,0.810000
166,0.810000
167,0.810000
168,0.810000
169,0.820000
170,0.820000
171,0.820000
172,0.820000
173,0.820000
174,0.820000
175,0.820000
176,0.820000
177,0.820000
178,0.820000
179,0.820000
180,0.820000
181,0.820000
182,0.820000
183,0.820000
184,0.820000
185,0.820000
186,0.820000
187,0.820000
188,0.820000
189,0.820000
190,0.820000
191,0.820000
192,0.820000
193,0.820000
194,0.820000
195,0.820000
196,0.820000
197,0.820000
198,0.820000
199,0.820000
200,0.820000
201,0.820000
202,0.820000
203,0.820000
204,0.820000
205,0.820000
206,0.820000
207,0.820000
208,0.820000
209,0.820000
210,0.820000
211,0.820000
212,0.820000
213,0.820000
214,0.820000
215,0.820000
216,0.820000
217,0.820000
218,0.820000
219,0.820000
220,0.820000
221,0.820000
222,0.820000
223,0.820000
224,0.820000
225,0.820000
226,0.820000
227,0.820000
228,0.820000
229,0.820000
230,0.820000
231,0.820000
232,0.820000
233,0.820000
234,0.820000
235,0.820000
236,0.820000
237,0.820000
238,0.820000
239,0.820000
240,0.820000
241,0.820000
242,0.820000
243,0.820000
244,0.820000
245,0.820000
246,0.820000
247,0.820000
248,0.820000
249,0.820000
250,0.820000
251,0.820000
252,0.820000
