scenario,N,k,algorithm,algorithm_type,epsilon,m_value,strategy,recovery_pct,p1_winner_score,p1_2nd_score,p1_true_winner_score,p1_diff,p2_diff,parwis_recovery,beats_parwis
N300_k10,300,10,"Gen-Prob E-Greedy (m=150, e=0.4)",Gen-Prob E-Greedy,0.4,150.0,Gen-Prob,95.25,4.4833,3.2531,4.3507,1.230176629609005,1.4630039387536318,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=150, e=0.6)",Gen-Prob E-Greedy,0.6,150.0,Gen-Prob,95.25,4.4833,3.2531,4.3507,1.230176629609005,1.5459016640866667,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=150, e=0.8)",Gen-Prob E-Greedy,0.8,150.0,Gen-Prob,95.25,4.4833,3.2531,4.3507,1.230176629609005,1.547438559884795,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=150, e=1.0)",Gen-Prob E-Greedy,1.0,150.0,Gen-Prob,95.25,4.4833,3.2531,4.3507,1.230176629609005,1.563863022907583,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=225, e=0.0)",Gen-Prob E-Greedy,0.0,225.0,Gen-Prob,95.25,4.4833,3.2531,4.3507,1.230176629609005,1.8813034966022075,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=225, e=0.1)",Gen-Prob E-Greedy,0.1,225.0,Gen-Prob,95.25,4.4638,3.3122,4.3354,1.151628235524202,1.645527057185458,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=225, e=0.2)",Gen-Prob E-Greedy,0.2,225.0,Gen-Prob,95.25,4.4638,3.3122,4.3354,1.151628235524202,1.4996731698143737,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=225, e=0.4)",Gen-Prob E-Greedy,0.4,225.0,Gen-Prob,95.25,4.4638,3.3122,4.3354,1.151628235524202,1.447713341392976,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=225, e=0.6)",Gen-Prob E-Greedy,0.6,225.0,Gen-Prob,95.25,4.4638,3.3122,4.3354,1.151628235524202,1.4896089964103174,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=225, e=0.8)",Gen-Prob E-Greedy,0.8,225.0,Gen-Prob,95.25,4.4638,3.3122,4.3354,1.151628235524202,1.5473988823637108,95.25,False
N300_k10,300,10,"Gen-Prob E-Greedy (m=225, e=1.0)",Gen-Prob E-Greedy,1.0,225.0,Gen-Prob,95.25,4.4638,3.3122,4.3354,1.151628235524202,1.5617899404436204,95.25,False
N300_k20,300,20,"Gen-Prob E-Greedy (m=150, e=0.2)",Gen-Prob E-Greedy,0.2,150.0,Gen-Prob,86.5,3.6655,2.8503,3.2535,0.8151025327591488,0.9326632475300692,86.0,True
N300_k30,300,30,"Gen-Prob E-Greedy (m=225, e=0.2)",Gen-Prob E-Greedy,0.2,225.0,Gen-Prob,84.75,3.2457,2.6706,2.8385,0.5750500706565727,0.6288417646069573,84.5,True
N300_k40,300,40,"Gen-Prob E-Greedy (m=150, e=0.1)",Gen-Prob E-Greedy,0.1,150.0,Gen-Prob,75.0,2.851,2.4336,2.1969,0.4174584829482111,0.3910833967109823,74.25,True
N300_k50,300,50,"Gen-Prob E-Greedy (m=150, e=0.0)",Gen-Prob E-Greedy,0.0,150.0,Gen-Prob,64.5,2.4896,2.2328,1.6781,0.2568076630818412,0.2568076630818412,64.5,False
N300_k60,300,60,"Gen-Prob E-Greedy (m=150, e=0.1)",Gen-Prob E-Greedy,0.1,150.0,Gen-Prob,51.0,2.4048,2.1931,1.3708,0.2117189893516728,0.1489531889637261,49.0,True
N300_k60,300,60,"Gen-Prob E-Greedy (m=225, e=0.1)",Gen-Prob E-Greedy,0.1,225.0,Gen-Prob,51.0,2.36,2.1616,1.3675,0.1984117063707793,0.149689954143148,49.0,True
N300_k70,300,70,"Gen-Prob E-Greedy (m=225, e=0.2)",Gen-Prob E-Greedy,0.2,225.0,Gen-Prob,30.75,2.2459,2.0898,1.1699,0.1560354793444824,0.131466677460236,29.5,True
N300_k80,300,80,"Gen-Prob E-Greedy (m=150, e=0.1)",Gen-Prob E-Greedy,0.1,150.0,Gen-Prob,13.75,2.2443,2.0967,0.9415,0.1475836726014199,0.1341564996899835,13.25,True
N300_k90,300,90,"Gen-Prob E-Greedy (m=150, e=0.2)",Gen-Prob E-Greedy,0.2,150.0,Gen-Prob,7.75,2.2402,2.1041,0.9307,0.1360259146259719,0.1302714482651916,6.25,True
N300_k93,300,93,"Gen-Prob E-Greedy (m=225, e=0.8)",Gen-Prob E-Greedy,0.8,225.0,Gen-Prob,9.25,2.1962,2.0654,0.9849,0.1307553456593058,0.1309775473899055,7.75,True
N300_k93,300,93,"Gen-Prob E-Greedy (m=225, e=0.6)",Gen-Prob E-Greedy,0.6,225.0,Gen-Prob,9.25,2.1962,2.0654,0.9849,0.1307553456593058,0.1287371911923092,7.75,True
N300_k95,300,95,"Gen-Prob E-Greedy (m=150, e=0.1)",Gen-Prob E-Greedy,0.1,150.0,Gen-Prob,5.75,2.2022,2.0747,0.7315,0.1274993783131748,0.1193482041611573,4.25,True
N300_k97,300,97,"Gen-Prob E-Greedy (m=150, e=0.1)",Gen-Prob E-Greedy,0.1,150.0,Gen-Prob,4.0,2.2138,2.0731,0.662,0.1407433262660986,0.1294608894155202,3.25,True
N400_k10,400,10,"Gen-Prob E-Greedy (m=200, e=0.0)",Gen-Prob E-Greedy,0.0,200.0,Gen-Prob,92.5,4.2877,2.7232,4.0824,1.564501683957196,1.564501683957196,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=200, e=0.1)",Gen-Prob E-Greedy,0.1,200.0,Gen-Prob,92.5,4.4688,3.3635,4.2592,1.1052867180618628,1.5690882079862338,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=200, e=0.2)",Gen-Prob E-Greedy,0.2,200.0,Gen-Prob,92.5,4.4688,3.3635,4.2592,1.1052867180618628,1.403805454163519,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=200, e=0.4)",Gen-Prob E-Greedy,0.4,200.0,Gen-Prob,92.5,4.4688,3.3635,4.2592,1.1052867180618628,1.3631855882114792,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=200, e=0.6)",Gen-Prob E-Greedy,0.6,200.0,Gen-Prob,92.5,4.4688,3.3635,4.2592,1.1052867180618628,1.44699559840656,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=200, e=0.8)",Gen-Prob E-Greedy,0.8,200.0,Gen-Prob,92.5,4.4688,3.3635,4.2592,1.1052867180618628,1.4738203059088917,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=200, e=1.0)",Gen-Prob E-Greedy,1.0,200.0,Gen-Prob,92.5,4.4688,3.3635,4.2592,1.1052867180618628,1.4393483213153146,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=300, e=0.0)",Gen-Prob E-Greedy,0.0,300.0,Gen-Prob,92.5,4.4688,3.3635,4.2592,1.1052867180618628,1.8497626762026835,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=300, e=0.1)",Gen-Prob E-Greedy,0.1,300.0,Gen-Prob,92.5,4.4062,3.3781,4.201,1.0281087614856794,1.5769805739116265,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=300, e=0.2)",Gen-Prob E-Greedy,0.2,300.0,Gen-Prob,92.5,4.4062,3.3781,4.201,1.0281087614856794,1.4321852128940429,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=300, e=0.4)",Gen-Prob E-Greedy,0.4,300.0,Gen-Prob,92.5,4.4062,3.3781,4.201,1.0281087614856794,1.35639651152015,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=300, e=0.6)",Gen-Prob E-Greedy,0.6,300.0,Gen-Prob,92.5,4.4062,3.3781,4.201,1.0281087614856794,1.41588473419767,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=300, e=0.8)",Gen-Prob E-Greedy,0.8,300.0,Gen-Prob,92.5,4.4062,3.3781,4.201,1.0281087614856794,1.4208553316483503,92.5,False
N400_k10,400,10,"Gen-Prob E-Greedy (m=300, e=1.0)",Gen-Prob E-Greedy,1.0,300.0,Gen-Prob,92.5,4.4062,3.3781,4.201,1.0281087614856794,1.4878239096445829,92.5,False
N400_k20,400,20,"Gen-Prob E-Greedy (m=200, e=0.4)",Gen-Prob E-Greedy,0.4,200.0,Gen-Prob,91.5,3.7398,2.9484,3.5027,0.7913628865824527,0.8532664584218681,91.25,True
N400_k20,400,20,"Gen-Prob E-Greedy (m=200, e=0.8)",Gen-Prob E-Greedy,0.8,200.0,Gen-Prob,91.5,3.7398,2.9484,3.5027,0.7913628865824527,0.7994684281512896,91.25,True
