Trial,Original_Recovery,Original_Rank_of_True,TwoPhase_Recovery,TwoPhase_Rank_of_True,Phase1_Recovery,Phase1_Budget_Used,K_Used
166,False,14.0,False,14.0,False,162,40
167,False,14.0,False,14.0,False,242,40
168,False,14.0,False,46.0,False,214,40
169,False,14.0,False,14.0,False,149,40
170,False,49.0,False,51.0,False,184,40
171,False,14.0,False,14.0,False,167,40
172,False,14.0,False,14.0,False,181,40
173,False,14.0,False,14.0,False,489,40
174,False,98.0,False,98.0,False,181,40
175,False,14.0,False,13.0,False,171,40
176,False,32.0,False,32.0,False,500,40
177,False,14.0,False,14.0,False,178,40
178,False,49.0,False,47.0,False,272,40
179,False,14.0,False,14.0,False,280,40
180,False,14.0,False,14.0,False,152,40
181,False,14.0,False,92.0,False,150,40
182,False,14.0,False,14.0,False,190,40
183,False,14.0,False,14.0,False,291,40
184,False,14.0,False,14.0,False,500,40
185,False,14.0,False,14.0,False,149,40
186,False,14.0,False,14.0,False,191,40
187,False,78.0,False,78.0,False,373,40
188,False,14.0,False,26.0,False,244,40
189,False,66.0,False,66.0,False,195,40
190,False,14.0,False,88.0,False,219,40
191,False,89.0,False,81.0,False,297,40
192,False,14.0,False,14.0,False,171,40
193,False,36.0,False,54.0,False,277,40
194,False,9.0,False,6.0,False,221,40
195,False,14.0,False,10.0,False,193,40
196,False,3.0,False,3.0,False,181,40
197,False,100.0,False,9.0,True,421,40
198,False,21.0,False,21.0,False,266,40
199,False,72.0,False,72.0,False,500,40
200,False,14.0,False,47.0,False,185,40
