k_N_ratio,epsilon,algorithm_type,recovery_rate,parwis_baseline,improvement_over_parwis,k,N
0.9,0.1,Gen-Prob E-Greedy,10.0,9.5,0.5,90,100
0.485,0.1,Gen-Prob E-Greedy,6.5,6.0,0.5,97,200
0.485,0.6,Gen-Prob E-Greedy,6.5,6.0,0.5,97,200
0.4,0.6,Gen-Prob E-Greedy,67.5,67.0,0.5,40,100
0.3,0.0,Gen-Prob E-Greedy,6.75,6.25,0.5,90,300
0.31,0.4,Gen-Prob E-Greedy,8.25,7.75,0.5,93,300
0.3233333333333333,0.8,Gen-Prob E-Greedy,3.75,3.25,0.5,97,300
0.45,0.2,Gen-Prob E-Greedy,7.5,7.0,0.5,90,200
0.93,0.2,Gen-Prob E-Greedy,12.0,11.5,0.5,93,100
0.7,0.2,Gen-Prob E-Greedy,39.0,38.5,0.5,70,100
0.9,0.4,Gen-Prob E-Greedy,10.0,9.5,0.5,90,100
0.6,0.4,Gen-Prob E-Greedy,55.5,55.0,0.5,60,100
0.13333333333333333,0.2,Gen-Prob E-Greedy,74.62,74.25,0.38,40,300
0.06,0.4,Gen-Prob E-Greedy,78.25,78.0,0.25,30,500
0.08,0.1,Gen-Prob E-Greedy,67.25,67.0,0.25,40,500
0.075,0.1,Gen-Prob E-Greedy,80.25,80.0,0.25,30,400
0.2375,1.0,Gen-Prob E-Greedy,4.25,4.0,0.25,95,400
0.08,0.6,Gen-Prob E-Greedy,67.25,67.0,0.25,40,500
0.08,1.0,Gen-Prob E-Greedy,67.25,67.0,0.25,40,500
0.02,0.1,Gen-Prob E-Greedy,94.0,93.75,0.25,10,500
0.04,0.6,Gen-Prob E-Greedy,89.25,89.0,0.25,20,500
0.02,0.6,Gen-Prob E-Greedy,94.0,93.75,0.25,10,500
0.04,0.4,Gen-Prob E-Greedy,89.25,89.0,0.25,20,500
0.04,0.1,Gen-Prob E-Greedy,89.25,89.0,0.25,20,500
0.05,0.4,Gen-Prob E-Greedy,91.5,91.25,0.25,20,400
0.04,1.0,Gen-Prob E-Greedy,89.25,89.0,0.25,20,500
0.04,0.8,Gen-Prob E-Greedy,89.25,89.0,0.25,20,500
0.05,0.8,Gen-Prob E-Greedy,91.5,91.25,0.25,20,400
0.06666666666666667,0.6,Gen-Prob E-Greedy,86.25,86.0,0.25,20,300
0.3233333333333333,1.0,Gen-Prob E-Greedy,3.5,3.25,0.25,97,300
0.26666666666666666,0.4,Gen-Prob E-Greedy,13.5,13.25,0.25,80,300
0.26666666666666666,0.6,Gen-Prob E-Greedy,13.5,13.25,0.25,80,300
